id,label,heuristicLabel,keywords,description,enrichedBy,cohesion,symbolCount
"comm_40","Ui","Ui",[],"","heuristic",0.8559322033898306,154
"comm_0","Controller","Controller",[],"","heuristic",0.7419354838709677,44
"comm_1","Controller","Controller",[],"","heuristic",0.8791208791208791,41
"comm_43","Components","Components",[],"","heuristic",0.8767123287671232,31
"comm_42","Components","Components",[],"","heuristic",0.7692307692307693,11
"comm_16","Service","Service",[],"","heuristic",0.8181818181818182,10
"comm_38","Api","Api",[],"","heuristic",1,10
"comm_56","Components","Components",[],"","heuristic",0.75,10
"comm_33","Api","Api",[],"","heuristic",1,9
"comm_55","Components","Components",[],"","heuristic",0.64,9
"comm_60","Ui","Ui",[],"","heuristic",0.7272727272727273,9
"comm_4","Service","Service",[],"","heuristic",0.782608695652174,8
"comm_13","Controller","Controller",[],"","heuristic",0.8235294117647058,8
"comm_29","Service","Service",[],"","heuristic",0.8235294117647058,8
"comm_36","Api","Api",[],"","heuristic",1,8
"comm_52","Components","Components",[],"","heuristic",0.9333333333333333,8
"comm_62","Ui","Ui",[],"","heuristic",0.6666666666666666,8
"comm_2","Cluster_2","Cluster_2",[],"","heuristic",1,7
"comm_25","Service","Service",[],"","heuristic",0.875,7
"comm_32","Api","Api",[],"","heuristic",1,7
"comm_35","Components","Components",[],"","heuristic",0.9411764705882353,7
"comm_49","Components","Components",[],"","heuristic",0.9230769230769231,7
"comm_5","Service","Service",[],"","heuristic",0.7692307692307693,6
"comm_7","Service","Service",[],"","heuristic",0.8333333333333334,6
"comm_8","Service","Service",[],"","heuristic",0.8333333333333334,6
"comm_11","Service","Service",[],"","heuristic",0.8333333333333334,6
"comm_12","Service","Service",[],"","heuristic",0.8333333333333334,6
"comm_14","Service","Service",[],"","heuristic",0.8333333333333334,6
"comm_18","Service","Service",[],"","heuristic",0.7692307692307693,6
"comm_19","Service","Service",[],"","heuristic",0.8,6
"comm_24","Service","Service",[],"","heuristic",0.8333333333333334,6
"comm_26","Service","Service",[],"","heuristic",0.7692307692307693,6
"comm_27","Controller","Controller",[],"","heuristic",0.8333333333333334,6
"comm_37","Api","Api",[],"","heuristic",1,6
"comm_54","Components","Components",[],"","heuristic",0.9090909090909091,6
"comm_57","Ui","Ui",[],"","heuristic",0.6666666666666666,6
"comm_61","Ui","Ui",[],"","heuristic",0.7142857142857143,6
"comm_6","Service","Service",[],"","heuristic",0.6666666666666666,5
"comm_15","Service","Service",[],"","heuristic",0.8888888888888888,5
"comm_21","Vo","Vo",[],"","heuristic",0.8888888888888888,5
"comm_28","Service","Service",[],"","heuristic",0.6666666666666666,5
"comm_44","Components","Components",[],"","heuristic",0.8,5
"comm_59","Ui","Ui",[],"","heuristic",0.7692307692307693,5
"comm_63","Ui","Ui",[],"","heuristic",0.5714285714285714,5
"comm_9","Service","Service",[],"","heuristic",0.75,4
"comm_10","Mapper","Mapper",[],"","heuristic",0.8571428571428571,4
"comm_17","Service","Service",[],"","heuristic",0.75,4
"comm_20","Service","Service",[],"","heuristic",0.8571428571428571,4
"comm_22","Service","Service",[],"","heuristic",0.8571428571428571,4
"comm_23","Service","Service",[],"","heuristic",0.8571428571428571,4
"comm_39","Ui","Ui",[],"","heuristic",0.75,4
"comm_46","Components","Components",[],"","heuristic",0.75,4
"comm_48","Components","Components",[],"","heuristic",0.8571428571428571,4
"comm_50","Components","Components",[],"","heuristic",0.8,4
"comm_53","Components","Components",[],"","heuristic",1,4
"comm_64","Ui","Ui",[],"","heuristic",0.6666666666666666,4
"comm_47","Components","Components",[],"","heuristic",1,3
"comm_58","Ui","Ui",[],"","heuristic",1,3
"comm_31","Api","Api",[],"","heuristic",1,2
"comm_34","Api","Api",[],"","heuristic",1,2
"comm_41","Hooks","Hooks",[],"","heuristic",1,2
"comm_45","Components","Components",[],"","heuristic",1,2
"comm_51","Components","Components",[],"","heuristic",1,2
