id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_0_app","App → Legend","App → Legend","cross_community",5,"['comm_42','comm_44','comm_54']","Function:frontend/src/app/App.tsx:App","Function:frontend/src/app/components/MongoliaProvinceMap.tsx:Legend"
"proc_1_app","App → Truncate","App → Truncate","intra_community",5,"['comm_42']","Function:frontend/src/app/App.tsx:App","Function:frontend/src/app/components/StationMap.tsx:truncate"
"proc_2_app","App → TowerSVG","App → TowerSVG","intra_community",5,"['comm_42']","Function:frontend/src/app/App.tsx:App","Function:frontend/src/app/components/StationMap.tsx:towerSVG"
"proc_3_app","App → Row","App → Row","intra_community",5,"['comm_42']","Function:frontend/src/app/App.tsx:App","Function:frontend/src/app/components/StationMap.tsx:row"
"proc_4_app","App → TrimFreqNumber","App → TrimFreqNumber","cross_community",5,"['comm_42','comm_50','comm_49']","Function:frontend/src/app/App.tsx:App","Function:frontend/src/app/components/FrequencyPlanning.tsx:trimFreqNumber"
"proc_5_app","App → Request","App → Request","cross_community",5,"['comm_42','comm_35']","Function:frontend/src/app/App.tsx:App","Function:frontend/src/app/api/request.ts:request"
"proc_6_page","Page → PermitVO","Page → PermitVO","intra_community",4,"['comm_5']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.page#1","Class:backend/src/main/java/com/freqmanage/module/permit/vo/PermitVO.java:PermitVO"
"proc_7_page","Page → PlanningVO","Page → PlanningVO","intra_community",4,"['comm_11']","Method:backend/src/main/java/com/freqmanage/module/planning/controller/PlanningController.java:PlanningController.page#1","Class:backend/src/main/java/com/freqmanage/module/planning/vo/PlanningVO.java:PlanningVO"
"proc_8_page","Page → StationVO","Page → StationVO","intra_community",4,"['comm_13']","Method:backend/src/main/java/com/freqmanage/module/station/controller/StationController.java:StationController.page#1","Class:backend/src/main/java/com/freqmanage/module/station/vo/StationVO.java:StationVO"
"proc_9_stationtype","StationType → StationTypeVO","StationType → StationTypeVO","intra_community",4,"['comm_17']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/DashboardController.java:DashboardController.stationType#0","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/StationTypeVO.java:StationTypeVO"
"proc_10_provincestation","ProvinceStation → ProvinceStationVO","ProvinceStation → ProvinceStationVO","intra_community",4,"['comm_18']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/DashboardController.java:DashboardController.provinceStation#0","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/ProvinceStationVO.java:ProvinceStationVO"
"proc_11_stationgrowth","StationGrowth → StationGrowthVO","StationGrowth → StationGrowthVO","intra_community",4,"['comm_19']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/DashboardController.java:DashboardController.stationGrowth#0","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/StationGrowthVO.java:StationGrowthVO"
"proc_12_stationregiondetail","StationRegionDetail → StationRegionDetailVO","StationRegionDetail → StationRegionDetailVO","intra_community",4,"['comm_21']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.stationRegionDetail#0","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/StationRegionDetailVO.java:StationRegionDetailVO"
"proc_13_stationregiondetail","StationRegionDetail → NormalizeType","StationRegionDetail → NormalizeType","intra_community",4,"['comm_21']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.stationRegionDetail#0","Method:backend/src/main/java/com/freqmanage/module/statistics/vo/StationRegionDetailVO.java:StationRegionDetailVO.normalizeType#1"
"proc_14_expiredstationdetail","ExpiredStationDetail → ExpiredStationVO","ExpiredStationDetail → ExpiredStationVO","intra_community",4,"['comm_23']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.expiredStationDetail#3","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/ExpiredStationVO.java:ExpiredStationVO"
"proc_15_page","Page → OrganizationVO","Page → OrganizationVO","intra_community",4,"['comm_24']","Method:backend/src/main/java/com/freqmanage/module/system/controller/OrganizationController.java:OrganizationController.page#1","Class:backend/src/main/java/com/freqmanage/module/system/vo/OrganizationVO.java:OrganizationVO"
"proc_16_create","Create → BizException","Create → BizException","intra_community",4,"['comm_25']","Method:backend/src/main/java/com/freqmanage/module/system/controller/OrganizationController.java:OrganizationController.create#1","Constructor:backend/src/main/java/com/freqmanage/common/BizException.java:BizException.BizException#2"
"proc_17_page","Page → RoleVO","Page → RoleVO","intra_community",4,"['comm_26']","Method:backend/src/main/java/com/freqmanage/module/system/controller/RoleController.java:RoleController.page#1","Class:backend/src/main/java/com/freqmanage/module/system/vo/RoleVO.java:RoleVO"
"proc_18_page","Page → GetPermissionsByRoleId","Page → GetPermissionsByRoleId","cross_community",4,"['comm_26','comm_28']","Method:backend/src/main/java/com/freqmanage/module/system/controller/RoleController.java:RoleController.page#1","Method:backend/src/main/java/com/freqmanage/module/system/service/RoleService.java:RoleService.getPermissionsByRoleId#1"
"proc_19_page","Page → UserVO","Page → UserVO","intra_community",4,"['comm_29']","Method:backend/src/main/java/com/freqmanage/module/system/controller/UserController.java:UserController.page#1","Class:backend/src/main/java/com/freqmanage/module/system/vo/UserVO.java:UserVO"
"proc_20_update","Update → BizException","Update → BizException","intra_community",4,"['comm_25']","Method:backend/src/main/java/com/freqmanage/module/system/controller/OrganizationController.java:OrganizationController.update#2","Constructor:backend/src/main/java/com/freqmanage/common/BizException.java:BizException.BizException#2"
"proc_21_sidebar","Sidebar → Cn","Sidebar → Cn","cross_community",4,"['comm_62','comm_40']","Function:frontend/src/app/components/ui/sidebar.tsx:Sidebar","Function:frontend/src/app/components/ui/utils.ts:cn"
"proc_22_getregiondetail","GetRegionDetail → StationVO","GetRegionDetail → StationVO","intra_community",4,"['comm_13']","Method:backend/src/main/java/com/freqmanage/module/station/controller/StationController.java:StationController.getRegionDetail#2","Class:backend/src/main/java/com/freqmanage/module/station/vo/StationVO.java:StationVO"
